stationsname,gewaesser,km,lat,lon,wasserstand_cm,einheit,trend_label,status_label,abgerufen_utc
RHEINWEILER,RHEIN,186.2,47.711059,7.529275,210.0,cm,,Normal,2026-08-31T22:26:27Z
KEHL-KRONENHOF,RHEIN,292.2,48.56332,7.807692,194.0,cm,,Normal,2026-08-31T22:26:27Z
IFFEZHEIM,RHEIN,336.2,48.852149,8.116902,103.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
PLITTERSDORF,RHEIN,340.2,48.885967,8.135927,261.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
MAXAU,RHEIN,362.327,49.038977,8.305564,348.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
PHILIPPSBURG,RHEIN,389.33,49.255274,8.428827,246.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
SPEYER,RHEIN,400.61,49.323807,8.448705,210.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
MANNHEIM,RHEIN,424.733,49.48394,8.455165,130.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
WORMS,RHEIN,443.37,49.631837,8.377519,46.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
NIERSTEIN-OPPENHEIM,RHEIN,480.606,49.864981,8.352376,116.0,cm,,Normal,2026-08-31T22:26:27Z
MAINZ,RHEIN,498.27,50.003995,8.275319,163.0,cm,,Normal,2026-08-31T22:26:27Z
OESTRICH,RHEIN,518.08,50.002866,8.030048,85.0,cm,,Normal,2026-08-31T22:26:27Z
BINGEN,RHEIN,528.36,49.970342,7.899668,93.0,cm,,Normal,2026-08-31T22:26:27Z
KAUB,RHEIN,546.23,50.085438,7.764962,71.0,cm,,Normal,2026-08-31T22:26:27Z
SANKT GOAR,RHEIN,556.43,50.152557,7.712615,162.0,cm,,Normal,2026-08-31T22:26:27Z
BOPPARD,RHEIN,570.45,50.232914,7.592132,89.0,cm,,Normal,2026-08-31T22:26:27Z
KOBLENZ,RHEIN,591.49,50.35864,7.604741,77.0,cm,,Normal,2026-08-31T22:26:27Z
ANDERNACH,RHEIN,613.78,50.44339,7.392056,86.0,cm,,Normal,2026-08-31T22:26:27Z
OBERWINTER,RHEIN,638.19,50.61369,7.210222,62.0,cm,,Normal,2026-08-31T22:26:27Z
BONN,RHEIN,654.8,50.736398,7.108045,129.0,cm,,Normal,2026-08-31T22:26:27Z
KÖLN,RHEIN,688.0,50.936949,6.9633,118.0,cm,,Normal,2026-08-31T22:26:27Z
DÜSSELDORF,RHEIN,744.2,51.225498,6.769891,70.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
DUISBURG-RUHRORT,RHEIN,780.8,51.455345,6.727927,200.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
WESEL,RHEIN,814.0,51.646143,6.60682,141.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
REES,RHEIN,837.4,51.756953,6.395692,84.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
EMMERICH,RHEIN,851.9,51.829252,6.245594,42.0,cm,,Niedrigwasser,2026-08-31T22:26:27Z
